loss,val_loss,acc,val_acc
0.722384512424469,0.2890428893160129,0.7876842605801236,0.9066666666666666
0.27480506896972656,0.20939628181277195,0.8492629576795054,0.9187878787878788
0.46904242038726807,0.22264883596369106,0.8559201141226819,0.9224242424242424
0.10966648906469345,0.21949059142987581,0.8644793152639088,0.9236363636363636
0.054265573620796204,0.20922876145872896,0.8720874940561103,0.92
0.07333504408597946,0.2050115294886105,0.8640038040893961,0.9175757575757576
0.44804731011390686,0.2259277698914588,0.8697099381835474,0.9030303030303031
0.05677972733974457,0.17433783484528353,0.8713742272943414,0.9357575757575758
0.021616311743855476,0.1805736640167922,0.8820732287208749,0.9406060606060606
1.090891718864441,0.15297616205677605,0.8825487398953875,0.9466666666666667
0.8374280333518982,0.18830307286934575,0.8901569186875892,0.9333333333333333
0.42519858479499817,0.17813321830792542,0.8697099381835474,0.9478787878787879
